image_location,ground_truth_caption,llm_question
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000440123.jpg,The wine glass is at the right side of the dining table.,"""Where is the wine glass in relation to the dining table?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000157601.jpg,The cup is in front of the sandwich.,"""Where is the cup relative to the sandwich?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000087813.jpg,The laptop is part of the cake.,"""What is the relationship between the laptop and the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000026435.jpg,The sandwich is surrounding the broccoli.,"""Where is the sandwich in relation to the broccoli?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000147142.jpg,The teddy bear is facing away from the book.,"""Which direction is the teddy bear facing in relation to the book?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000032538.jpg,The cow is touching the person.,"""How is the cow related to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000053550.jpg,The person is near the train.,"""Where is the person relative to the train?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000448034.jpg,The dog is on the chair.,"""Where is the dog?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000208971.jpg,The bed is next to the potted plant.,"""What is the spatial relationship between the bed and the potted plant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000099628.jpg,The bird is toward the elephant.,"""What is the direction of the bird relative to the elephant?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000220042.jpg,The clock is touching the person.,"""What is the relationship between the clock and the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000323334.jpg,The teddy bear is touching the person.,"""Where is the teddy bear in relation to the person?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000537807.jpg,The dining table is under the train.,"""Where is the dining table relative to the train?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000502860.jpg,The cup is left of the bowl.,"""Where is the cup relative to the bowl?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000053183.jpg,The pizza is in the middle of the bench.,"""Where is the pizza relative to the bench?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000536067.jpg,The cat is touching the wine glass.,"""What is the relationship between the cat and the wine glass?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000128938.jpg,The dog is touching the cake.,"""What is the relationship between the dog and the cake?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000093068.jpg,The person is behind the banana.,"""Where is the person relative to the banana?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000262118.jpg,The bench is at the side of the bed.,"""What is the location of the bench relative to the bed?"""
/home/kalashkala/visual-spatial-reasoning/truthrl-sample/images/000000466763.jpg,The person is touching the hair drier.,"""What is the relationship between the person and the hair drier?"""
